Index,Country,GDP,CPI,Population,logGDP,logCPI,logPop,NGDP,NCPI,NPOP
56,Guatemala,68.7,4.4,1.66E+07,1.836956737,0.643452676,7.220108088,0.492354466,2.76E-02,0.6
57,Guinea,9.3,8.9,1.24E+07,0.968482949,0.949390007,7.093421685,0.311156783,5.14E-02,0.57
58,Guinea-Bissau,1.2,1.4,1.82E+06,0.079181246,0.146128036,6.260071388,0.125613581,1.17E-02,0.4
59,Haiti,8,14.7,1.08E+07,0.903089987,1.167317335,7.033423755,0.297513247,8.21E-02,0.56
60,Honduras,21.6,3.9,9.11E+06,1.334453751,0.591064607,6.959518377,0.387512641,2.49E-02,0.55
61,Hungary,125.8,2.3,9.81E+06,2.099680641,0.361727836,6.991669007,0.547168973,1.64E-02,0.55
62,Iceland,20.3,1.8,335439,1.307496038,0.255272505,5.525613555,0.381888205,1.38E-02,0.25
63,India,2274.2,3.3,1.32E+09,3.356828655,0.51851394,9.120573931,0.809459338,2.17E-02,1
64,Indonesia,932.3,3.8,2.61E+08,2.969555684,0.579783597,8.416640507,0.728659012,2.44E-02,0.85
65,"Iran, Islamic Rep.",419,10.5,8.03E+07,2.622214023,1.021189299,7.904715545,0.656189923,5.99E-02,0.74
66,Iraq,171.5,0.2,3.72E+07,2.234264124,-0.698970004,7.57054294,0.575248364,5.30E-03,0.67
67,Ireland,304.8,0.3,4.76E+06,2.484014963,-0.522878745,6.677606953,0.627356181,5.83E-03,0.49
68,Israel,317.7,0.2,8.55E+06,2.502017215,-0.698970004,6.931966115,0.631112156,5.30E-03,0.54
69,Italy,1859.4,1.2,6.06E+07,3.269372827,0.079181246,7.782472624,0.791212623,1.06E-02,0.72
70,Jamaica,14.1,4.4,2.88E+06,1.149219113,0.643452676,6.459392488,0.348865433,2.76E-02,0.44
71,Japan,4949.3,0.5,1.27E+08,3.694543779,-0.301029996,8.103803721,0.879919953,6.89E-03,0.78
72,Jordan,38.7,3.3,9.46E+06,1.587710965,0.51851394,6.975891136,0.440352025,2.17E-02,0.55
73,Kazakhstan,137.3,7.4,1.78E+07,2.137670537,0.86923172,7.250420002,0.555095155,4.35E-02,0.61
74,Kenya,70.9,8,4.85E+07,1.850646235,0.903089987,7.685741739,0.495210632,4.66E-02,0.7
75,"Korea, Rep.",1414.8,1.9,5.12E+07,3.150695051,0.278753601,7.709269961,0.766451786,1.43E-02,0.7
76,Kosovo,6.7,1.5,1.82E+06,0.826074803,0.176091259,6.260071388,0.28144486,1.22E-02,0.4
77,Kuwait,110.9,2.2,4.05E+06,2.044931546,0.342422681,6.607455023,0.535746165,1.59E-02,0.47
78,Kyrgyz Republic,6.8,3.2,6.08E+06,0.832508913,0.505149978,6.783903579,0.282787268,2.12E-02,0.51
79,Lao PDR,15.8,0.8,6.76E+06,1.198657087,-0.096910013,6.829946696,0.359180133,8.48E-03,0.52
80,Latvia,27.6,2.9,1.96E+06,1.440909082,0.462397998,6.292256071,0.409723397,1.96E-02,0.41
81,Lebanon,49.6,4.3,6.01E+06,1.695481676,0.633468456,6.778874472,0.462837221,2.70E-02,0.51
82,Lesotho,2.3,5.3,2.20E+06,0.361727836,0.72427587,6.342422681,0.184563878,3.23E-02,0.42
83,Liberia,2.1,12.4,4.61E+06,0.322219295,1.093421685,6.663700925,0.176320847,7.00E-02,0.48
84,Lithuania,42.8,3.7,2.87E+06,1.631443769,0.568201724,6.457881897,0.449476403,2.38E-02,0.44
85,Luxembourg,58.6,1.7,582014,1.767897616,0.230448921,5.764933431,0.477946025,1.32E-02,0.3
86,"Macedonia, FYR",10.7,1.3,2.08E+06,1.029383778,0.113943352,6.318063335,0.323863084,1.11E-02,0.41
87,Madagascar,10,8.3,2.49E+07,1,0.919078092,7.396199347,0.317732476,4.82E-02,0.64
88,Malawi,5.4,12.2,1.81E+07,0.73239376,1.086359831,7.257678575,0.261899322,6.89E-02,0.61
89,Malaysia,296.5,3.9,3.12E+07,2.472024698,0.591064607,7.494154594,0.624854541,2.49E-02,0.66
90,Maldives,4.2,2.7,427756,0.62324929,0.431363764,5.63119611,0.239127506,1.85E-02,0.27
91,Mali,14,1.8,1.80E+07,1.146128036,0.255272505,7.255272505,0.348220513,1.38E-02,0.61
92,Malta,11.3,1.4,455356,1.053078443,0.146128036,5.658351063,0.32880672,1.17E-02,0.28
93,Mauritania,4.7,2.3,4.30E+06,0.672097858,0.361727836,6.633468456,0.249319233,1.64E-02,0.48
94,Mauritius,12.2,3.7,1.26E+06,1.086359831,0.568201724,6.100370545,0.335750522,2.38E-02,0.37
95,Mexico,1076.9,6,1.28E+08,3.032175377,0.77815125,8.10720997,0.741723935,3.60E-02,0.79
96,Moldova,6.8,6.6,3.55E+06,0.832508913,0.819543936,6.550228353,0.282787268,3.92E-02,0.46
97,Mongolia,11.2,4.1,3.03E+06,1.049218023,0.612783857,6.481442629,0.328001285,2.60E-02,0.45
98,Montenegro,4.4,2.4,622303,0.643452676,0.380211242,5.794001895,0.243342725,1.70E-02,0.3
99,Morocco,103.6,0.8,3.53E+07,2.015359755,-0.096910013,7.547774705,0.52957633,8.48E-03,0.67
100,Mozambique,11,15.1,2.88E+07,1.041392685,1.178976947,7.459392488,0.326368613,8.43E-02,0.65
101,Myanmar,63.2,4.6,5.29E+07,1.800717078,0.662757832,7.723455672,0.484793452,2.86E-02,0.71
102,Namibia,11.3,6.1,2.48E+06,1.053078443,0.785329835,6.394451681,0.32880672,3.66E-02,0.43
103,Nepal,21.1,3.2,2.90E+07,1.324282455,0.505149978,7.462397998,0.38539051,2.12E-02,0.65
104,Netherlands,777.2,1.4,1.70E+07,2.890532792,0.146128036,7.230448921,0.712171738,1.17E-02,0.6
105,New Zealand,189.3,1.9,4.69E+06,2.277150614,0.278753601,6.671172843,0.584196167,1.43E-02,0.49
106,Nicaragua,13.2,3.9,6.15E+06,1.120573931,0.591064607,6.788875116,0.342888925,2.49E-02,0.51
107,Niger,7.6,2.4,2.07E+07,0.880813592,0.380211242,7.315970345,0.292865518,1.70E-02,0.62
108,Nigeria,404.7,16.5,1.86E+08,2.607133204,1.217483944,8.269512944,0.653043473,9.17E-02,0.82
109,Norway,371.1,1.9,5.23E+06,2.569490954,0.278753601,6.718501689,0.645189824,1.43E-02,0.5
110,Oman,66.8,1.6,4.42E+06,1.824776462,0.204119983,6.645422269,0.489813183,1.27E-02,0.48
111,Pakistan,278.7,4.1,1.93E+08,2.445136969,0.612783857,8.285557309,0.619244707,2.60E-02,0.82
112,Palau,0.3,1.3,21503,-0.522878745,0.113943352,4.332499055,2.62E-07,1.11E-02,0
113,Panama,57.8,0.9,4.03E+06,1.761927838,-0.045757491,6.605305046,0.476700496,9.01E-03,0.47
114,Paraguay,27.4,3.6,6.73E+06,1.437750563,0.556302501,6.828015064,0.409064406,2.33E-02,0.52
115,Peru,191.6,2.8,3.18E+07,2.282395505,0.447158031,7.50242712,0.585290457,1.91E-02,0.66
116,Philippines,304.9,2.9,1.03E+08,2.484157424,0.462397998,8.012837225,0.627385904,1.96E-02,0.77
