Index,Country,GDP,CPI,Population,CleanGDP,NGDP,CleanCPI,NCPI,abbr,logPop
61,Hungary,125.8,2.3,"9,810,000",125.5,0.006738544,3.1,0.016428193,HUN,23.22582171
62,Iceland,20.3,1.8,"335,439",20,0.001073872,2.6,0.013778484,ISL,18.35569091
63,India,2274.2,3.3,"1,320,000,000",2273.9,0.122093835,4.1,0.02172761,IND,30.29789078
64,Indonesia,932.3,3.8,"261,000,000",932,0.050042418,4.6,0.024377318,IDN,27.95947457
65,"Iran, Islamic Rep.",419,10.5,"80,300,000",418.7,0.022481503,11.3,0.059883413,IRN,26.25889665
66,Iraq,171.5,0.2,"37,200,000",171.2,0.009192341,1,0.005299417,IRQ,25.14879929
67,Ireland,304.8,0.3,"4,760,000",304.5,0.016349696,1.1,0.005829359,IRL,22.18253014
68,Israel,317.7,0.2,"8,550,000",317.4,0.017042343,1,0.005299417,ISR,23.02749299
69,Italy,1859.4,1.2,"60,600,000",1859.1,0.099821737,2,0.010598834,ITA,25.85281446
70,Jamaica,14.1,4.4,"2,880,000",13.8,0.000740971,5.2,0.027556969,JAM,21.45763738
71,Japan,4949.3,0.5,"127,000,000",4949,0.265729535,1.3,0.006889242,JPN,26.92025326
72,Jordan,38.7,3.3,"9,460,000",38.4,0.002061834,4.1,0.02172761,JOR,23.17340875
73,Kazakhstan,137.3,7.4,"17,800,000",137,0.007356021,8.2,0.04345522,KAZ,24.08537391
74,Kenya,70.9,8,"48,500,000",70.6,0.003790767,8.8,0.04663487,KEN,25.53148141
75,"Korea, Rep.",1414.8,1.9,"51,200,000",1414.5,0.075949571,2.7,0.014308426,KOR,25.60964047
76,Kosovo,6.7,1.5,"1,820,000",6.4,0.000343639,2.3,0.012188659,XKX,20.79550702
77,Kuwait,110.9,2.2,"4,050,000",110.6,0.00593851,3,0.015898251,KWT,21.94949048
78,Kyrgyz Republic,6.8,3.2,"6,080,000",6.5,0.000349008,4,0.021197668,KGZ,22.53563989
79,Lao PDR,15.8,0.8,"6,760,000",15.5,0.000832251,1.6,0.008479067,LAO,22.68859182
80,Latvia,27.6,2.9,"1,960,000",27.3,0.001465835,3.7,0.019607843,LVA,20.90242222
81,Lebanon,49.6,4.3,"6,010,000",49.3,0.002647094,5.1,0.027027027,LBN,22.51893356
82,Lesotho,2.3,5.3,"2,200,000",2,0.000107387,6.1,0.032326444,LSO,21.06907209
83,Liberia,2.1,12.4,"4,610,000",1.8,9.66E-05,13.2,0.069952305,LBR,22.13633532
84,Lithuania,42.8,3.7,"2,870,000",42.5,0.002281977,4.5,0.023847377,LTU,21.45261931
85,Luxembourg,58.6,1.7,"582,014",58.3,0.003130336,2.5,0.013248543,LUX,19.15069433
86,"Macedonia, FYR",10.7,1.3,"2,080,000",10.4,0.000558413,2.1,0.011128776,MKD,20.9881521
87,Madagascar,10,8.3,"24,900,000",9.7,0.000520828,9.1,0.048224695,MDG,24.56964241
88,Malawi,5.4,12.2,"18,100,000",5.1,0.000273837,13,0.068892422,MWI,24.10948636
89,Malaysia,296.5,3.9,"31,200,000",296.2,0.015904039,4.7,0.02490726,MYS,24.89504269
