Index,Country,GDP,CPI,Population,logGDP,logCPI,lnPop,NGDP,NCPI,NPOP
56,Guatemala,68.7,4.4,16600000,1.836956737,0.643452676,16.62491325,0.492354466,2.76E-02,0.600666093
57,Guinea,9.3,8.9,12400000,0.968482949,0.949390007,16.33320703,0.311156783,5.14E-02,0.574313606
58,Guinea-Bissau,1.2,1.4,1820000,0.079181246,0.146128036,14.41434706,0.125613581,1.17E-02,0.40096546
59,Haiti,8,14.7,10800000,0.903089987,1.167317335,16.19505669,0.297513247,8.21E-02,0.561833224
60,Honduras,21.6,3.9,9110000,1.334453751,0.591064607,16.02488327,0.387512641,2.49E-02,0.546459905
61,Hungary,125.8,2.3,9810000,2.099680641,0.361727836,16.09891283,0.547168973,1.64E-02,0.553147671
62,Iceland,20.3,1.8,335439,1.307496038,0.255272505,12.7231954,0.381888205,1.38E-02,0.248188285
63,India,2274.2,3.3,1320000000,3.356828655,0.51851394,21.00089757,0.809459338,2.17E-02,0.995988723
64,Indonesia,932.3,3.8,261000000,2.969555684,0.579783597,19.38003097,0.728659012,2.44E-02,0.849561039
65,"Iran, Islamic Rep.",419,10.5,80300000,2.622214023,1.021189299,18.20128018,0.656189923,5.99E-02,0.743073715
66,Iraq,171.5,0.2,37200000,2.234264124,-0.698970004,17.43181932,0.575248364,5.30E-03,0.673561288
67,Ireland,304.8,0.3,4760000,2.484014963,-0.522878745,15.37575823,0.627356181,5.83E-03,0.487818511
68,Israel,317.7,0.2,8550000,2.502017215,-0.698970004,15.96144184,0.631112156,5.30E-03,0.540728661
69,Italy,1859.4,1.2,60600000,3.269372827,0.079181246,17.91980545,0.791212623,1.06E-02,0.717645532
70,Jamaica,14.1,4.4,2880000,1.149219113,0.643452676,14.87330085,0.348865433,2.76E-02,0.442426947
71,Japan,4949.3,0.5,127000000,3.694543779,-0.301029996,18.65969764,0.879919953,6.89E-03,0.784486751
72,Jordan,38.7,3.3,9460000,1.587710965,0.51851394,16.06258294,0.440352025,2.17E-02,0.54986566
73,Kazakhstan,137.3,7.4,17800000,2.137670537,0.86923172,16.69470902,0.555095155,4.35E-02,0.606971382
74,Kenya,70.9,8,48500000,1.850646235,0.903089987,17.69707436,0.495210632,4.66E-02,0.697524198
75,"Korea, Rep.",1414.8,1.9,51200000,3.150695051,0.278753601,17.75125009,0.766451786,1.43E-02,0.702418387
76,Kosovo,6.7,1.5,1820000,0.826074803,0.176091259,14.41434706,0.28144486,1.22E-02,0.40096546
77,Kuwait,110.9,2.2,4050000,2.044931546,0.342422681,15.21422744,0.535746165,1.59E-02,0.47322596
78,Kyrgyz Republic,6.8,3.2,6080000,0.832508913,0.505149978,15.62051525,0.282787268,2.12E-02,0.509929649
79,Lao PDR,15.8,0.8,6760000,1.198657087,-0.096910013,15.72653345,0.359180133,8.48E-03,0.519507241
80,Latvia,27.6,2.9,1960000,1.440909082,0.462397998,14.48845503,0.409723397,1.96E-02,0.40766031
81,Lebanon,49.6,4.3,6010000,1.695481676,0.633468456,15.60893531,0.462837221,2.70E-02,0.508883526
82,Lesotho,2.3,5.3,2200000,0.361727836,0.72427587,14.60396792,0.184563878,3.23E-02,0.418095644
83,Liberia,2.1,12.4,4610000,0.322219295,1.093421685,15.34373841,0.176320847,7.00E-02,0.484925869
84,Lithuania,42.8,3.7,2870000,1.631443769,0.568201724,14.86982259,0.449476403,2.38E-02,0.442112724
85,Luxembourg,58.6,1.7,582014,1.767897616,0.230448921,13.27424978,0.477946025,1.32E-02,0.29797006
86,"Macedonia, FYR",10.7,1.3,2080000,1.029383778,0.113943352,14.54787845,0.323863084,1.11E-02,0.41302857
87,Madagascar,10,8.3,24900000,1,0.919078092,17.03037836,0.317732476,4.82E-02,0.63729546
88,Malawi,5.4,12.2,18100000,0.73239376,1.086359831,16.7114225,0.261899322,6.89E-02,0.608481263
89,Malaysia,296.5,3.9,31200000,2.472024698,0.591064607,17.25592865,0.624854541,2.49E-02,0.657671477
90,Maldives,4.2,2.7,427756,0.62324929,0.431363764,12.96630822,0.239127506,1.85E-02,0.270150886
91,Mali,14,1.8,18000000,1.146128036,0.255272505,16.70588232,0.348220513,1.38E-02,0.607980768
92,Malta,11.3,1.4,455356,1.053078443,0.146128036,13.02883481,0.32880672,1.17E-02,0.275799484
93,Mauritania,4.7,2.3,4300000,0.672097858,0.361727836,15.27412558,0.249319233,1.64E-02,0.478637106
94,Mauritius,12.2,3.7,1260000,1.086359831,0.568201724,14.04662228,0.335750522,2.38E-02,0.367745522
95,Mexico,1076.9,6,128000000,3.032175377,0.77815125,18.66754082,0.741723935,3.60E-02,0.785195297
96,Moldova,6.8,6.6,3550000,0.832508913,0.819543936,15.08245816,0.282787268,3.92E-02,0.461322037
97,Mongolia,11.2,4.1,3030000,1.049218023,0.612783857,14.92407318,0.328001285,2.60E-02,0.447013675
98,Montenegro,4.4,2.4,622303,0.643452676,0.380211242,13.34118239,0.243342725,1.70E-02,0.304016694
99,Morocco,103.6,0.8,35300000,2.015359755,-0.096910013,17.37939352,0.52957633,8.48E-03,0.668825187
100,Mozambique,11,15.1,28800000,1.041392685,1.178976947,17.17588595,0.326368613,8.43E-02,0.650440489
101,Myanmar,63.2,4.6,52900000,1.800717078,0.662757832,17.7839139,0.484793452,2.86E-02,0.705369207
102,Namibia,11.3,6.1,2480000,1.053078443,0.785329835,14.72376912,0.32880672,3.66E-02,0.42891838
103,Nepal,21.1,3.2,29000000,1.324282455,0.505149978,17.18280639,0.38539051,2.12E-02,0.651065675
104,Netherlands,777.2,1.4,17000000,2.890532792,0.146128036,16.6487239,0.712171738,1.17E-02,0.602817127
105,New Zealand,189.3,1.9,4690000,2.277150614,0.278753601,15.36094314,0.584196167,1.43E-02,0.486480129
106,Nicaragua,13.2,3.9,6150000,1.120573931,0.591064607,15.63196264,0.342888925,2.49E-02,0.510963796
107,Niger,7.6,2.4,20700000,0.880813592,0.380211242,16.84564426,0.292865518,1.70E-02,0.620606741
108,Nigeria,404.7,16.5,186000000,2.607133204,1.217483944,19.04125723,0.653043473,9.17E-02,0.818956514
109,Norway,371.1,1.9,5230000,2.569490954,0.278753601,15.46992184,0.645189824,1.43E-02,0.49632517
110,Oman,66.8,1.6,4420000,1.824776462,0.204119983,15.30165025,0.489813183,1.27E-02,0.481123661
111,Pakistan,278.7,4.1,193000000,2.445136969,0.612783857,19.07820075,0.619244707,2.60E-02,0.822293959
112,Palau,0.3,1.3,21503,-0.522878745,0.113943352,9.975947739,2.62E-07,1.11E-02,4.31272E-06
113,Panama,57.8,0.9,4030000,1.761927838,-0.045757491,15.20927693,0.476700496,9.01E-03,0.472778735
114,Paraguay,27.4,3.6,6730000,1.437750563,0.556302501,15.7220857,0.409064406,2.33E-02,0.519105435
115,Peru,191.6,2.8,31800000,2.282395505,0.447158031,17.27497685,0.585290457,1.91E-02,0.659392275
116,Philippines,304.9,2.9,103000000,2.484157424,0.462397998,18.45023955,0.627385904,1.96E-02,0.765564488
117,Poland,471.4,2.1,38000000,2.673389578,0.322219295,17.45309672,0.66686715,1.54E-02,0.67548347
118,Portugal,205.2,1.4,10300000,2.312177356,0.146128036,16.14765445,0.591504119,1.17E-02,0.557550947
119,Romania,187.8,1.3,19700000,2.273695588,0.113943352,16.79612919,0.583475313,1.11E-02,0.616133593
120,Russian Federation,1284.7,3.7,144000000,3.108801724,0.568201724,18.78532386,0.757711195,2.38E-02,0.795835714
121,Rwanda,8.5,8.3,11900000,0.929418926,0.919078092,16.29204896,0.303006496,4.82E-02,0.570595421
122,Samoa,0.8,1.6,195125,-0.096910013,0.204119983,12.18139566,0.08887404,1.27E-02,0.199242566
123,San Marino,1.6,1,33203,0.204119983,0,10.41039551,0.1516807,9.54E-03,0.039251948
124,Sao Tome and Principe,0.4,5.7,199910,-0.397940009,0.755874856,12.20562254,0.026067381,3.44E-02,0.201431202
125,Saudi Arabia,644.9,-0.2,32300000,2.809492377,#NUM!,17.29057779,0.695263531,3.18E-03,0.66080165
126,Senegal,14.7,1.3,15400000,1.167317335,0.113943352,16.54987807,0.352641432,1.11E-02,0.59388748
127,Serbia,38.3,3.1,7060000,1.583198774,0.491361694,15.76995561,0.439410605,2.07E-02,0.523429961
128,Seychelles,1.4,2.9,94677,0.146128036,0.462397998,11.45822638,0.139581306,1.96E-02,0.13391208
129,Sierra Leone,3.6,18.2,7400000,0.556302501,1.260071388,15.81699056,0.225159781,1.01E-01,0.527679057
130,Singapore,309.8,0.6,5610000,2.491081413,-0.22184875,15.54006128,0.62883052,7.42E-03,0.502661506
131,Slovak Republic,89.8,1.3,5430000,1.953276337,0.113943352,15.50744969,0.516623295,1.11E-02,0.499715404
132,Slovenia,44.7,1.4,2070000,1.650307523,0.146128036,14.54305917,0.453412122,1.17E-02,0.4125932
133,Solomon Islands,1.2,0.5,599419,0.079181246,-0.301029996,13.30371613,0.125613581,6.89E-03,0.300632024
134,South Africa,295.8,5.2,56000000,2.47099817,0.716003344,17.84086225,0.624640367,3.18E-02,0.710513871
135,South Sudan,2.9,187.9,12200000,0.462397998,2.27392678,16.31694651,0.20556762,1.00E+00,0.572844645
136,Spain,1237.3,2,46500000,3.092475013,0.301029996,17.65496287,0.754304803,1.48E-02,0.693719883
137,Sri Lanka,81.8,7.7,21200000,1.912753304,0.886490725,16.86951174,0.508168601,4.50E-02,0.622762909
138,St. Kitts and Nevis,0.9,0.6,54821,-0.045757491,-0.22184875,10.91182861,0.099546462,7.42E-03,0.084550979
139,St. Lucia,1.7,0.1,178015,0.230448921,-1,12.0896231,0.157173949,4.77E-03,0.190951912
140,St. Vincent and the Grenadines,0.8,2.2,109643,-0.096910013,0.342422681,11.60498491,0.08887404,1.59E-02,0.147170119
141,Suriname,3.3,22,558368,0.51851394,1.342422681,13.23277352,0.217275606,1.21E-01,0.294223131
142,Eswatini,3.7,6.2,1340000,0.568201724,0.792391689,14.10818017,0.227642426,3.71E-02,0.373306608
143,Sweden,514.5,1.8,9920000,2.711385379,0.255272505,16.11006348,0.674794564,1.38E-02,0.554155011
144,Switzerland,668.7,0.5,8370000,2.825231323,-0.301029996,15.94016444,0.698547292,6.89E-03,0.538806479
145,Tanzania,47.4,5.3,55600000,1.675778342,0.72427587,17.83369376,0.458726333,3.23E-02,0.709866276
146,Thailand,411.8,0.7,68900000,2.614686342,-0.15490196,18.04816674,0.654619354,7.95E-03,0.729241579
147,Timor-Leste,2.5,0.6,1270000,0.397940009,-0.22184875,14.05452746,0.192119156,7.42E-03,0.368459669
148,Togo,4.4,-0.8,7610000,0.643452676,#NUM!,15.84497373,0.243342725,0.00E+00,0.530207033
149,Trinidad and Tobago,22.3,1.9,1360000,1.348304863,0.278753601,14.12299526,0.390402526,1.43E-02,0.37464499
150,Tunisia,42.1,5.3,11400000,1.624282096,0.72427587,16.24912391,0.447982197,3.23E-02,0.56671761
151,Turkey,863.7,11.1,79500000,2.93636292,1.045322979,18.19126758,0.7217337,6.31E-02,0.742169185
152,Uganda,24.1,5.2,41500000,1.382017043,0.716003344,17.54120399,0.397436209,3.18E-02,0.683443004
153,Ukraine,93.3,14.4,45000000,1.969881644,1.158362492,17.62217305,0.520087813,8.06E-02,0.690757679
154,United Arab Emirates,357,2,9270000,2.552668216,0.301029996,16.04229394,0.641679941,1.48E-02,0.548032769
155,United Kingdom,2650.9,2.7,65600000,3.423393345,0.431363764,17.99908625,0.823347342,1.85E-02,0.724807691
156,United States,18624.5,2.1,323000000,4.270084622,0.322219295,19.59316288,1.000000338,1.54E-02,0.868815192
157,Uruguay,52.7,6.2,3440000,1.721810615,0.792391689,15.05098203,0.46833047,3.71E-02,0.458478511
158,Vietnam,205.3,3.5,94600000,2.312388949,0.544068044,18.36516803,0.591548266,2.28E-02,0.757879202
159,West Bank and Gaza,13.4,0.2,4550000,1.127104798,-0.698970004,15.33063779,0.34425152,5.30E-03,0.48374237
160,Zambia,21,6.6,16600000,1.322219295,0.819543936,16.62491325,0.384960054,3.92E-02,0.600666093
161,Zimbabwe,16.6,0.9,16200000,1.220108088,-0.045757491,16.6005218,0.363655653,9.01E-03,0.598462591
